rows=3850
cols=3969
(476,78,0)
(1775,1572,0)
(3831,3237,0)
(247,26,0)
(1522,1880,0)
(118,2090,0)
(1589,3102,0)
(2430,3718,0)
(2302,2220,0)
(404,1895,0)
(1641,2511,0)
(1667,1480,0)
(1271,1480,0)
(1276,1824,0)
(1985,69,0)
(3045,49,0)
(3738,13,0)
(2081,531,0)
(1580,2235,0)
(3261,613,0)
(888,961,0)
(1509,3523,0)
(3190,1901,0)
(2166,1578,0)
(2200,1162,0)
(3478,1779,0)
(2196,3672,0)
(2134,2794,0)
(2499,1229,0)
(2822,162,0)
(981,371,0)
(1017,28,0)
(1817,643,0)
(1072,489,0)
(3436,2307,0)
(48,166,0)
(509,1315,0)
(1787,1932,0)
(1391,1932,0)
(1725,1054,0)
(596,3943,0)
(2745,1635,0)
(2992,1512,0)
(2493,633,0)
(34,1207,0)
(65,520,0)
(156,638,0)
(104,448,0)
(2838,1045,0)
(658,1788,0)
(3177,511,0)
(1838,1870,0)
(1530,1717,0)
(33,1736,0)
(1473,1183,0)
(3801,1092,0)
(2643,577,0)
(561,1855,0)
(1710,372,0)
(407,1388,0)
(736,166,0)
(751,1198,0)
(3757,39,0)
(2301,59,0)
(2115,1589,0)
(1045,921,0)
(1996,177,0)
(2048,367,0)
(1495,1881,0)
(2450,3565,0)
(2832,449,0)
(3264,106,0)
(3756,568,0)
(177,1865,0)
(3628,1322,0)
(2573,1686,0)
(2260,1189,0)
(1086,141,0)
(3044,1271,0)
(1177,259,0)
(2070,1065,0)
(1669,721,0)
(2562,1527,0)
(2510,1337,0)
(3194,1215,0)
(1881,1543,0)
(1855,322,0)
(2660,1281,0)
(2691,594,0)
(1626,270,0)
(2885,3843,0)
(1758,2641,0)
(2782,712,0)
(3522,522,0)
(2964,1692,0)
(1436,146,0)
(1219,2363,0)
(2988,588,0)
(1969,609,0)
(3337,742,0)
(348,3036,0)
(563,746,0)
(2875,122,0)
(41,1573,0)
(380,1039,0)
(10,8,0)
(1937,1825,0)
(2687,71,0)
(1780,1087,0)
(2122,824,0)
(30,1414,0)
(1642,1153,0)
(2077,1081,0)
(2030,1235,0)
(1524,2595,0)
